"","row_index","species2","family2","order2","avibase.id2","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle"
"2583",2583,"Gavia arctica","Gaviidae","Gaviiformes","AVIBASE-CA5852BE",4,2,2,0,4,71,41.3,8.5,14.2,72.8,285.8,145.3,140.4,50.8,45,2251.1,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Carnivore","Aquatic predator","Aquatic"
"2584",2584,"Gavia immer","Gaviidae","Gaviiformes","AVIBASE-7E022378",5,2,3,0,4,97,60.1,10.5,23,86.1,365.2,178,183.2,49.3,59,4956.8,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Carnivore","Aquatic predator","Aquatic"
"2585",2585,"Gavia pacifica","Gaviidae","Gaviiformes","AVIBASE-B7D7EF23",5,1,2,2,4,71.9,41.1,8.3,12.9,72.8,291.2,139,151.5,47.9,48.4,2251.1,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Carnivore","Aquatic predator","Aquatic"
"2586",2586,"Gavia stellata","Gaviidae","Gaviiformes","AVIBASE-6C50988A",5,2,3,0,4,63.1,37.4,7.5,12.2,66.1,275.4,130.7,143.8,47.6,45.6,1486,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Carnivore","Aquatic predator","Aquatic"
"2587",2587,"Aramus guarauna","Aramidae","Gruiformes","AVIBASE-5D864313",8,2,3,3,3,130.4,84.9,8.8,13.4,84.6,241.2,24.4,196.6,11.1,225.8,1080,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Carnivore","Aquatic predator","Terrestrial"
"2588",2588,"Anthropoides paradiseus","Gruidae","Gruiformes","AVIBASE-361AC269",4,1,0,3,4,101.1,58.8,15.7,18.1,249.5,556.2,213.8,342.5,38.6,231.5,4540.6,"Dunning",NA,"NO",NA,NA,"Grassland","3","1","Omnivore","Omnivore","Terrestrial"
"2589",2589,"Anthropoides virgo","Gruidae","Gruiformes","AVIBASE-64DDD14D",5,2,3,0,4,69.9,33.6,10.5,12.2,181.2,484.8,214.8,256.8,45.5,174.8,2417,"Dunning",NA,"NO",NA,NA,"Grassland","3","3","Omnivore","Omnivore","Terrestrial"
"2590",2590,"Antigone antigone","Gruidae","Gruiformes","AVIBASE-8D891DB7",4,2,2,0,3,176.2,88.2,12.9,22,301,597.5,224.5,373,37.6,238.2,5916.2,"Dunning",NA,"NO",NA,NA,"Wetland","3","2","Omnivore","Omnivore","Terrestrial"
"2591",2591,"Antigone canadensis","Gruidae","Gruiformes","AVIBASE-E196D6F9",5,2,2,1,4,122.9,67.4,10.2,15.9,216.2,477.8,210,270,43.8,175.4,4296.2,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Omnivore","Omnivore","Terrestrial"
"2592",2592,"Antigone rubicunda","Gruidae","Gruiformes","AVIBASE-A4480D02",4,2,1,1,4,162.2,87.7,13.8,22.8,280.2,572.5,233,339.5,40.7,223.8,6222.8,"Dunning",NA,"NO",NA,NA,"Wetland","3","2","Herbivore","Omnivore","Terrestrial"
"2593",2593,"Antigone vipio","Gruidae","Gruiformes","AVIBASE-1125F89D",4,2,1,1,4,152.2,86,11.6,20.8,250.2,538.2,228.8,309.5,42.5,193.2,4663,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Herbivore","Omnivore","Terrestrial"
"2594",2594,"Balearica pavonina","Gruidae","Gruiformes","AVIBASE-31413BFF",5,1,2,2,4,65.4,35.2,14.5,17.6,201,543.4,195.5,353.2,35.6,258.2,3590,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Omnivore","Omnivore","Terrestrial"
"2595",2595,"Balearica regulorum","Gruidae","Gruiformes","AVIBASE-D10CAC5D",8,1,6,1,4,66.2,36,16.1,18.9,223,569,214.2,352.2,38,243,3772,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Omnivore","Omnivore","Terrestrial"
"2596",2596,"Bugeranus carunculatus","Gruidae","Gruiformes","AVIBASE-38963CAC",5,2,2,1,4,169.2,87.1,14.4,24.6,318,624.2,248.2,376,39.8,234.8,8159,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Omnivore","Omnivore","Terrestrial"
"2597",2597,"Grus americana","Gruidae","Gruiformes","AVIBASE-B87D744D",4,0,1,3,4,148.8,77.1,13.1,22,288.8,605.8,258.8,347,42.7,208.8,5826,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Carnivore","Omnivore","Terrestrial"
"2598",2598,"Grus grus","Gruidae","Gruiformes","AVIBASE-99B8841E",5,2,3,0,4,108.1,58.1,10.7,16.8,234.4,540.6,225.5,300.2,43,193.4,5500,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Herbivore","Omnivore","Terrestrial"
"2599",2599,"Grus japonensis","Gruidae","Gruiformes","AVIBASE-0777AB3C",4,1,2,1,3,161,87.6,11.6,20.8,283.5,616,253.7,362.3,41.1,244.5,8786,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Omnivore","Omnivore","Terrestrial"
"2600",2600,"Grus monacha","Gruidae","Gruiformes","AVIBASE-38F36091",4,1,1,2,4,105.3,56.3,9.9,15.8,211.2,494.8,215.5,279.2,43.5,166,3729.9,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Herbivore","Omnivore","Terrestrial"
"2601",2601,"Grus nigricollis","Gruidae","Gruiformes","AVIBASE-7A78AD1C",4,2,2,0,4,124.4,67.3,11.7,19.2,239.8,579.2,235.2,344,40.6,217,6000,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Omnivore","Omnivore","Terrestrial"
"2602",2602,"Leucogeranus leucogeranus","Gruidae","Gruiformes","AVIBASE-77845DAD",4,2,2,0,4,194.5,103.3,11.8,23.6,274.2,579.2,256,323.2,44.2,198.5,5913.4,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Omnivore","Omnivore","Terrestrial"
"2603",2603,"Heliopais personatus","Heliornithidae","Gruiformes","AVIBASE-EC6869E2",4,2,2,0,4,52.8,26.9,6.6,12.2,47.6,239.5,95.8,143.8,40,108.2,510,"EltonTraits_Model",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Aquatic"
"2604",2604,"Heliornis fulica","Heliornithidae","Gruiformes","AVIBASE-097FAA36",8,3,5,0,4,32.4,16.3,4.4,6.9,21.6,141.5,51.3,90.4,36.2,81.8,132,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Aquatic"
"2605",2605,"Podica senegalensis","Heliornithidae","Gruiformes","AVIBASE-46DECAEE",5,3,2,0,4,44.6,20.6,5.3,8.1,40.9,186.2,50,134.8,27.2,125,599,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Aquatic"
"2606",2606,"Psophia crepitans","Psophiidae","Gruiformes","AVIBASE-C7C6DD9A",10,2,4,4,7,39.7,19.3,7.6,12.6,128.9,278.3,20.8,255.8,7.5,118.8,1026,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Herbivore","Frugivore","Terrestrial"
"2607",2607,"Psophia leucoptera","Psophiidae","Gruiformes","AVIBASE-C59A3228",4,1,3,0,4,43.6,19.5,7.6,13.5,120,270.5,24.4,246.1,9,112.2,1315.6,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Herbivore","Frugivore","Terrestrial"
"2608",2608,"Psophia viridis","Psophiidae","Gruiformes","AVIBASE-A4CEB29F",15,5,7,3,6,37.1,20,8.2,13.3,118.7,285.5,15.6,272.1,5.4,115.9,1071,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Herbivore","Frugivore","Terrestrial"
"2609",2609,"Amaurolimnas concolor","Rallidae","Gruiformes","AVIBASE-C25C4DCB",4,1,1,2,4,28.6,15.5,3.5,6.6,39.1,123.8,33.5,90.2,27.1,47.8,133,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Omnivore","Terrestrial"
"2610",2610,"Amaurornis isabellina","Rallidae","Gruiformes","AVIBASE-535DB169",4,0,1,3,4,35.8,17,5.5,9.8,65,167.2,36.7,130.5,22,63,180,"Inferred",NA,"YES","Body Mass","Amaurornis phoenicurus","Wetland","2","1","Omnivore","Omnivore","Terrestrial"
"2611",2611,"Amaurornis magnirostris","Rallidae","Gruiformes","AVIBASE-A5928AAE",1,0,0,1,1,47.6,23,5.6,12.4,59.9,160,33,127,20.6,54,250,"Updated_literature","BoW","NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Terrestrial"
"2612",2612,"Amaurornis marginalis","Rallidae","Gruiformes","AVIBASE-13967506",5,2,3,0,4,19.8,10.5,3.4,6.3,34.8,104.2,30.8,73,29.6,46.6,51.2,"Dunning",NA,"NO",NA,NA,"Grassland","3","2","Carnivore","Aquatic predator","Terrestrial"
"2613",2613,"Amaurornis moluccana","Rallidae","Gruiformes","AVIBASE-8CB46BDE",4,2,2,0,4,33.1,17.2,5.2,9.6,54.2,131.8,31.9,99.8,24.2,49.5,186.8,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Omnivore","Terrestrial"
"2614",2614,"Amaurornis olivacea","Rallidae","Gruiformes","AVIBASE-907D1FEC",4,2,2,0,4,35.4,17,5.4,9.8,60.2,150.2,35.4,114.9,23.6,53.2,292,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Omnivore","Terrestrial"
"2615",2615,"Amaurornis phoenicurus","Rallidae","Gruiformes","AVIBASE-F53518E3",5,2,3,0,4,37.1,18.6,4.4,8.8,50.8,147,33.7,111.5,23.2,57.6,180,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Terrestrial"
"2616",2616,"Anurolimnas castaneiceps","Rallidae","Gruiformes","AVIBASE-2A9074F9",5,2,0,3,4,26.5,12.1,4.6,6.7,51.9,110.6,9.8,99.2,9,26.6,126,"Dunning",NA,"NO",NA,NA,"Human Modified","1","1","Carnivore","Invertivore","Terrestrial"
"2617",2617,"Anurolimnas fasciatus","Rallidae","Gruiformes","AVIBASE-BE9214E6",4,1,2,1,4,19.5,10.7,3.7,5.8,38.3,91.8,12.1,79.7,13.2,26.5,69,"EltonTraits_Model",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Aquatic predator","Terrestrial"
"2618",2618,"Anurolimnas viridis","Rallidae","Gruiformes","AVIBASE-4B5BBB61",6,0,4,2,3,21.1,11,3.1,6,34.7,88.1,12.1,75.2,14.1,30.2,64.3,"Dunning",NA,"NO",NA,NA,"Grassland","2","1","Carnivore","Invertivore","Terrestrial"
"2619",2619,"Aramides albiventris","Rallidae","Gruiformes","AVIBASE-29D34534",0,0,0,0,0,51.3,27.9,5.3,11.1,63,178.7,20.8,157.9,11.6,62.8,514,"Updated_literature","Dunning (2021)","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Aramides cajaneus","Forest","1","1","Carnivore","Aquatic predator","Terrestrial"
"2620",2620,"Aramides axillaris","Rallidae","Gruiformes","AVIBASE-4EAFBF4C",4,0,2,2,4,40.5,21.8,5.1,10,53.1,166.2,40.3,126,24.2,53.5,292,"Dunning",NA,"NO",NA,NA,"Woodland","1","1","Carnivore","Aquatic predator","Terrestrial"
"2621",2621,"Aramides cajaneus","Rallidae","Gruiformes","AVIBASE-A52752EF",7,3,2,2,5,51.3,27.9,5.3,11.1,63,178.7,20.8,157.9,11.6,62.8,397,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Aquatic predator","Terrestrial"
"2622",2622,"Aramides calopterus","Rallidae","Gruiformes","AVIBASE-807F142A",4,0,1,3,4,47,24.7,5.3,10.2,64.7,154.2,16.6,137.7,10.8,46.8,320.5,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Terrestrial"
"2623",2623,"Aramides mangle","Rallidae","Gruiformes","AVIBASE-23A0F1AC",5,0,1,4,4,40.3,23.2,4.5,9.6,53.5,160.2,43.2,116,27.2,55.5,183,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Carnivore","Aquatic predator","Terrestrial"
"2624",2624,"Aramides saracura","Rallidae","Gruiformes","AVIBASE-AEB80F9B",5,2,2,1,3,59.3,29.4,11.6,16,71.6,182,21.3,161.9,11.7,65.9,540,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Terrestrial"
"2625",2625,"Aramides wolfi","Rallidae","Gruiformes","AVIBASE-56FEE337",6,2,1,3,6,54,28.2,5,10.9,72.7,164.8,19.5,145.3,11.8,49.5,454,"Dunning",NA,"NO",NA,NA,"Woodland","1","1","Omnivore","Omnivore","Terrestrial"
"2626",2626,"Aramides ypecaha","Rallidae","Gruiformes","AVIBASE-2C9F186F",5,1,2,2,4,77.3,38.1,6.5,13.9,85.3,223,31,190.2,14,87.8,700.1,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Terrestrial"
"2627",2627,"Aramidopsis plateni","Rallidae","Gruiformes","AVIBASE-80EC4AB6",1,0,0,1,1,49.8,29.7,3.9,8.5,58.2,138,5.9,132.1,4.3,36,116,"Inferred",NA,"YES","Body Mass","Lewinia striata","Woodland","2","1","Carnivore","Aquatic predator","Terrestrial"
"2628",2628,"Atlantisia rogersi","Rallidae","Gruiformes","AVIBASE-0712580C",4,2,2,0,4,21.2,12.7,2.6,4.2,22.5,54.2,0.1,54.1,0.2,28.5,39.3,"Dunning",NA,"NO",NA,NA,"Grassland","2","1","Omnivore","Omnivore","Terrestrial"
"2629",2629,"Canirallus oculeus","Rallidae","Gruiformes","AVIBASE-AF31F966",5,3,2,0,4,40.9,19.8,4.3,9,48.5,167,25.9,141.9,15.4,64,277,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Omnivore","Terrestrial"
"2630",2630,"Coturnicops exquisitus","Rallidae","Gruiformes","AVIBASE-D312C873",4,1,2,1,4,12.4,6.6,2.1,3.5,21.8,74.5,17.1,57.4,23,30.5,60.9,"Inferred",NA,"YES","Body Mass","Coturnicops noveboracensis","Wetland","2","1","Carnivore","Omnivore","Terrestrial"
"2631",2631,"Coturnicops notatus","Rallidae","Gruiformes","AVIBASE-0E761CC4",6,2,3,1,3,12.7,6.9,2.6,4.2,21.9,73.6,16.7,57.5,22.5,35.2,30,"Dunning",NA,"NO",NA,NA,"Grassland","2","2","Herbivore","Omnivore","Terrestrial"
"2632",2632,"Coturnicops noveboracensis","Rallidae","Gruiformes","AVIBASE-2B100B36",4,0,3,1,4,15.3,7.4,2.3,4.9,23.6,86,22.4,63.6,26,33,60.9,"Dunning",NA,"NO",NA,NA,"Wetland","2","3","Carnivore","Omnivore","Terrestrial"
"2633",2633,"Crex crex","Rallidae","Gruiformes","AVIBASE-7E257242",5,2,3,0,4,24.2,10.2,3.5,6.4,40.5,137,46.4,89.6,34.1,51.2,154.9,"Dunning",NA,"NO",NA,NA,"Grassland","2","3","Carnivore","Omnivore","Terrestrial"
"2634",2634,"Crex egregia","Rallidae","Gruiformes","AVIBASE-09A0F2EB",5,2,3,0,4,25.1,13.1,3.6,6.9,43,121.2,25.9,96.4,21.1,38.4,119,"Dunning",NA,"NO",NA,NA,"Wetland","2","3","Carnivore","Omnivore","Terrestrial"
"2635",2635,"Cyanolimnas cerverai","Rallidae","Gruiformes","AVIBASE-F7E6722E",5,4,1,0,5,40.3,21.8,4.2,8.2,42.2,102.6,10.3,92.3,10,43.2,175,"EltonTraits_Model",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Terrestrial"
"2636",2636,"Dryolimnas cuvieri","Rallidae","Gruiformes","AVIBASE-41D9C3F5",11,7,3,1,9,45.5,27.2,4.6,8.1,46.2,137.3,25.9,109.3,19.1,52.5,182.4,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Carnivore","Omnivore","Terrestrial"
"2637",2637,"Fulica alai","Rallidae","Gruiformes","AVIBASE-5E3BDB15",4,0,0,4,4,29.2,14,5.5,9.9,53.1,174.5,70.8,103.7,40.6,46.5,459,"Updated_literature","Dunning (2021)","NO",NA,NA,"Wetland","2","1","Herbivore","Herbivore aquatic","Aquatic"
"2638",2638,"Fulica americana","Rallidae","Gruiformes","AVIBASE-4FB248BA",11,4,4,3,10,37.3,14.8,5.9,10.7,54.8,183.1,65.8,115.7,36.3,50.6,636.7,"Dunning",NA,"NO",NA,NA,"Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic"
"2639",2639,"Fulica ardesiaca","Rallidae","Gruiformes","AVIBASE-D24D9266",5,2,3,0,4,41.6,15.9,7.2,12.1,72.1,218,70.7,144.6,32.9,58.8,988,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic"
"2640",2640,"Fulica armillata","Rallidae","Gruiformes","AVIBASE-92F60241",5,2,3,0,4,38.1,15,7.3,12.2,65.5,202.4,72.4,128.1,36.1,51.6,1040,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic"
"2641",2641,"Fulica atra","Rallidae","Gruiformes","AVIBASE-B682B2A9",9,5,4,0,4,37.7,16.5,5.6,10.5,57,198.2,78.6,120,39.6,53.9,717.1,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Herbivore","Herbivore aquatic","Generalist"
"2642",2642,"Fulica cornuta","Rallidae","Gruiformes","AVIBASE-8D86F054",6,1,3,2,6,53.5,22.8,9.8,14.6,76.7,291,95.6,195.5,32.8,68.7,2110.4,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Herbivore","Herbivore aquatic","Generalist"
"2643",2643,"Fulica cristata","Rallidae","Gruiformes","AVIBASE-53235FDC",5,2,2,1,4,42.6,17.3,6.4,11.5,66.4,212,74.6,131.9,36.1,60,826,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic"
"2644",2644,"Fulica gigantea","Rallidae","Gruiformes","AVIBASE-2E7A75E7",5,2,3,0,4,51.5,19.2,8,13,97.2,268.2,77,188.1,29,66.2,2442.7,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic"
"2645",2645,"Fulica leucoptera","Rallidae","Gruiformes","AVIBASE-477BF6B9",5,4,1,0,4,33.6,13.8,5.6,9.8,57.5,182.2,66.1,114.4,36.6,49.2,656,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic"
"2646",2646,"Fulica rufifrons","Rallidae","Gruiformes","AVIBASE-CFC1D518",4,2,2,0,4,37.5,16.3,5.4,10.2,56.8,168.8,60.6,108.2,35.9,57.8,644,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic"
"2647",2647,"Gallicrex cinerea","Rallidae","Gruiformes","AVIBASE-39B7A3C7",13,11,2,0,12,42.8,17.9,5.8,9.5,64.4,185.9,58.1,125.7,31.6,73.2,390.4,"Dunning",NA,"NO",NA,NA,"Wetland","2","2","Herbivore","Omnivore","Terrestrial"
"2648",2648,"Gallinula chloropus","Rallidae","Gruiformes","AVIBASE-8F82FF8C",10,5,5,0,4,33.9,13.2,4.3,8.1,45.9,165.5,53,110.5,32.2,69,339.6,"Dunning",NA,"NO",NA,NA,"Wetland","3","1","Omnivore","Omnivore","Terrestrial"
"2649",2649,"Gallinula comeri","Rallidae","Gruiformes","AVIBASE-28501BF5",6,2,4,0,6,36.5,16.2,5.9,11.3,45.7,142.2,46.8,95.4,32.7,59.8,513,"DataFromSplit",NA,"NO",NA,NA,"Grassland","2","1","Omnivore","Omnivore","Terrestrial"
"2650",2650,"Gallinula galeata","Rallidae","Gruiformes","AVIBASE-3EF081A8",7,4,3,0,4,31.4,15.8,5.4,9.8,51.1,176.1,57.9,120.5,32.4,74.9,339.6,"DataFromSplit",NA,"NO",NA,NA,"Wetland","3","1","Omnivore","Omnivore","Terrestrial"
"2651",2651,"Gallinula silvestris","Rallidae","Gruiformes","AVIBASE-81D7CF63",1,0,1,0,1,39.3,22.8,6,12.6,57.2,142.7,10.7,132,7.5,39.1,450,"Dunning",NA,"NO",NA,NA,NA,"1","1","Omnivore","Omnivore","Terrestrial"
"2652",2652,"Gallinula tenebrosa","Rallidae","Gruiformes","AVIBASE-0BA183A7",5,1,1,3,4,36.1,16.1,5.2,9.5,56.1,197.2,67,134.8,33.2,72.4,530.1,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Herbivore","Omnivore","Terrestrial"
"2653",2653,"Gallirallus australis","Rallidae","Gruiformes","AVIBASE-0136C1F3",6,2,1,3,4,46.6,22.6,5.8,11.3,57.5,167.2,9,155.8,5.6,117.2,875.7,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Terrestrial"
"2654",2654,"Gallirallus calayanensis","Rallidae","Gruiformes","AVIBASE-CB7F715F",1,0,0,1,1,33.1,19.9,5,9.7,58.1,150,14.9,135.1,9.9,76.2,244,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Terrestrial"
"2655",2655,"Gallirallus castaneoventris","Rallidae","Gruiformes","AVIBASE-EC514143",8,2,4,2,6,58.8,32.7,6.1,12.2,67.5,215,54.5,163.7,25,113,684.5,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Carnivore","Aquatic predator","Terrestrial"
"2656",2656,"Gallirallus insignis","Rallidae","Gruiformes","AVIBASE-73EDAFFC",1,1,0,0,1,42,24.8,6,10.3,59.7,138,7.7,130.3,5.6,43,353.1,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Terrestrial"
"2657",2657,"Gallirallus okinawae","Rallidae","Gruiformes","AVIBASE-4060A1CC",0,0,0,0,0,43.6,24.6,4.4,8.5,52.2,142.8,34,108.7,23.9,52.5,433,"Dunning",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length","Gallirallus torquatus","Forest","1","1","Carnivore","Invertivore","Terrestrial"
"2658",2658,"Gallirallus owstoni","Rallidae","Gruiformes","AVIBASE-8E3F31AB",1,1,0,0,1,38.7,21.2,4.8,8.2,43.4,112,17,95,15.2,49,226,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Terrestrial"
"2659",2659,"Gallirallus philippensis","Rallidae","Gruiformes","AVIBASE-732D08C3",8,1,4,3,4,32.5,16.6,4.1,7.3,42.9,141.5,36.2,100.3,26.5,66.7,205.9,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Omnivore","Omnivore","Terrestrial"
"2660",2660,"Gallirallus rovianae","Rallidae","Gruiformes","AVIBASE-6BAC1873",4,2,2,0,2,42.7,23.1,4.5,9.5,55.2,145.3,19.5,125.9,13.3,58.5,353.1,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Shrubland","2","1","Omnivore","Omnivore","Terrestrial"
"2661",2661,"Gallirallus sylvestris","Rallidae","Gruiformes","AVIBASE-A2D6E35A",5,2,3,0,4,53,30.8,4.8,10.3,49,138.6,22.2,113.8,16.2,62.2,494.4,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Terrestrial"
"2662",2662,"Gallirallus torquatus","Rallidae","Gruiformes","AVIBASE-19FA27ED",4,2,2,0,4,43.6,24.6,4.4,8.5,52.2,142.8,34,108.7,23.9,52.5,280,"Dunning",NA,"NO",NA,NA,"Grassland","3","1","Carnivore","Invertivore","Terrestrial"
"2663",2663,"Gallirallus wallacii","Rallidae","Gruiformes","AVIBASE-2BE28F60",2,0,1,1,2,73.1,40.8,7,14.6,80.2,163,5.1,157.9,3,47.5,1000,"EltonTraits_Model",NA,"NO",NA,NA,"Wetland","1","1","Omnivore","Omnivore","Terrestrial"
"2664",2664,"Gallirallus woodfordi","Rallidae","Gruiformes","AVIBASE-1E0886D6",14,4,8,2,9,45.6,25.2,5.8,11.4,63.1,156.7,22.5,134.2,13.9,69.9,553.2,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Omnivore","Terrestrial"
"2665",2665,"Gymnocrex plumbeiventris","Rallidae","Gruiformes","AVIBASE-A3BFE353",4,1,0,3,2,49.4,27,4.8,9.3,58.1,192.2,45.5,146.8,23.6,71,288,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Terrestrial"
"2666",2666,"Gymnocrex rosenbergii","Rallidae","Gruiformes","AVIBASE-87A94D23",2,0,0,2,2,46,26.6,4.4,8.8,71.6,186,43.6,142.4,23.6,70,288,"Inferred",NA,"YES","Body Mass","Gymnocrex plumbeiventris","Forest","2","1","Carnivore","Invertivore","Terrestrial"
"2667",2667,"Gymnocrex talaudensis","Rallidae","Gruiformes","AVIBASE-732EAD28",1,0,0,1,0,53.8,36.7,5.5,11,63.9,152,45.5,146.8,23.6,50.9,288,"Inferred",NA,"YES","Kipp's Distance; Secondary1; Hand-Wing Index; Body Mass","Gymnocrex plumbeiventris",NA,"2","1","Carnivore","Omnivore","Terrestrial"
"2668",2668,"Hapalocrex flaviventer","Rallidae","Gruiformes","AVIBASE-B79D2D56",4,0,1,3,4,16.9,9.3,2.2,4.2,22.5,66.2,17.5,48.8,26.4,28.5,24.9,"Dunning",NA,"NO",NA,NA,"Wetland","1","2","Omnivore","Aquatic predator","Terrestrial"
"2669",2669,"Himantornis haematopus","Rallidae","Gruiformes","AVIBASE-8D6E495E",5,2,2,1,4,39.5,19.8,6,12.1,76.8,208,23.5,178,11.7,83.4,585.7,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Omnivore","Terrestrial"
"2670",2670,"Laterallus albigularis","Rallidae","Gruiformes","AVIBASE-011EB942",10,3,5,2,4,21.2,10,2.9,5.3,26.7,73.9,12,60.2,16.6,26.3,47.3,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Omnivore","Omnivore","Terrestrial"
"2671",2671,"Laterallus exilis","Rallidae","Gruiformes","AVIBASE-8ABC8268",8,0,2,6,4,17.5,8.6,2.6,4.8,23.2,73.4,14.7,58.7,20,33.8,33.5,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Terrestrial"
"2672",2672,"Laterallus jamaicensis","Rallidae","Gruiformes","AVIBASE-C5DF08E7",5,1,2,2,4,15.1,6.8,2,3.5,21,67.2,14.2,52.9,21.2,30.1,32.6,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Terrestrial"
"2673",2673,"Laterallus leucopyrrhus","Rallidae","Gruiformes","AVIBASE-68948FC6",4,2,0,2,4,18.6,8.6,3.1,4.6,31,78.6,10.1,68.4,13,45,45.5,"Dunning",NA,"NO",NA,NA,"Wetland","1","1","Carnivore","Aquatic predator","Terrestrial"
"2674",2674,"Laterallus levraudi","Rallidae","Gruiformes","AVIBASE-288377C3",2,1,0,1,2,19.1,10.4,3.2,5,29.6,78.5,12.8,65.8,16.2,33,43.5,"EltonTraits_GenAvg",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Terrestrial"
"2675",2675,"Laterallus melanophaius","Rallidae","Gruiformes","AVIBASE-2202698C",7,1,4,2,4,19.9,10.2,2.9,5.7,28.5,83.2,13.2,69.7,16,38.4,52.1,"Dunning",NA,"NO",NA,NA,"Wetland","2","1","Carnivore","Aquatic predator","Terrestrial"
