"","row_index","species3","family3","order3","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle","min.latitude","max.latitude","centroid.latitude","centroid.longitude","range.size","species.status"
"20",20,"Accipiter gularis","Accipitridae","Accipitriformes",5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.66,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Insessorial",24.25,59,49.07,117.1119232,4785704.92,"Extant"
"21",21,"Accipiter gundlachi","Accipitridae","Accipitriformes",1,0,1,0,1,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,675,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial",19.82,23.16,21.62,-79.3550492,33511.43,"Extant"
"22",22,"Accipiter haplochrous","Accipitridae","Accipitriformes",4,3,1,0,4,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,198.41,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-22.4,-20.09,-21.33,165.4819811,16389.59,"Extant"
"23",23,"Accipiter henicogrammus","Accipitridae","Accipitriformes",5,2,3,0,4,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,358.7,"Inferred",NA,"YES","Body Mass","Accipiter fasciatus","Forest","1","1","Carnivore","Vertivore","Insessorial",-0.92,2.65,0.88,128.0108161,22781.85,"Extant"
"24",24,"Accipiter henstii","Accipitridae","Accipitriformes",4,2,2,0,4,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-25.2,-11.95,-18.72,46.85049345,434639.7,"Extant"
"25",25,"Accipiter imitator","Accipitridae","Accipitriformes",1,1,0,0,1,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.49,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-8.58,-5.41,-6.76,156.4707854,10050.21,"Extant"
"26",26,"Accipiter luteoschistaceus","Accipitridae","Accipitriformes",1,0,1,0,0,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,"Dunning",NA,"YES","Beak Culmen; Beak Nares","Accipiter imitator","Forest","1","1","Carnivore","Vertivore","Insessorial",-6.31,-4.19,-5.5,150.4531488,28814.74,"Extant"
"27",27,"Accipiter madagascariensis","Accipitridae","Accipitriformes",4,2,2,0,4,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.41,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-25.61,-11.95,-19.43,46.68950494,476517.51,"Extant"
"28",28,"Accipiter melanochlamys","Accipitridae","Accipitriformes",5,2,3,0,4,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist",-10.07,-0.95,-5.31,141.8673246,115449.94,"Extant"
"29",29,"Accipiter melanoleucus","Accipitridae","Accipitriformes",5,2,3,0,4,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,698.99,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist",-34.84,18.84,-5.51,25.85405272,9067092.6,"Extant"
"30",30,"Accipiter meyerianus","Accipitridae","Accipitriformes",2,1,1,0,2,35,20.6,12.6,18.6,75.4,309.5,102,207.5,33,200,763.54,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist",-10.12,2.29,-4.7,141.3615686,269144.41,"Extant"
"31",31,"Accipiter minullus","Accipitridae","Accipitriformes",5,3,2,0,5,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,29.6,105.2,87.43,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist",-34.84,17.8,-9.71,29.57044338,6794381.58,"Extant"
"32",32,"Accipiter nanus","Accipitridae","Accipitriformes",2,0,2,0,1,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,117,"Inferred",NA,"YES","Body Mass","Accipiter virgatus","Forest","1","1","Carnivore","Invertivore","Insessorial",-5.7,1.76,-1.08,121.3408933,110477,"Extant"
"33",33,"Accipiter nisus","Accipitridae","Accipitriformes",19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.79,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial",26.9,70.53,54.67,77.28555933,23601609.31,"Extant"
"34",34,"Accipiter novaehollandiae","Accipitridae","Accipitriformes",14,9,5,0,13,29.2,17.9,10.6,15.3,61.8,235.5,69.8,165,30,164.9,326.06,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-43.64,2.65,-19.05,142.444648,2636167.53,"Extant"
"35",35,"Accipiter ovampensis","Accipitridae","Accipitriformes",5,2,3,0,4,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,"Dunning",NA,"NO",NA,NA,"Shrubland","2","1","Carnivore","Vertivore","Aerial",-27.22,13.92,-8.53,23.3705394,7295779.86,"Extant"
"36",36,"Accipiter poliocephalus","Accipitridae","Accipitriformes",4,2,2,0,4,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,214.76,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-11.66,0.04,-5.32,140.739371,671500.51,"Extant"
"37",37,"Accipiter poliogaster","Accipitridae","Accipitriformes",5,2,3,0,3,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial",-30.38,6.82,-7.81,-60.08590586,7203530.62,"Extant"
"38",38,"Accipiter princeps","Accipitridae","Accipitriformes",2,1,1,0,2,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,"Inferred",NA,"YES","Body Mass","Accipiter poliocephalus","Forest","1","1","Carnivore","Vertivore","Insessorial",-6.11,-4.23,-5.35,151.0386901,11549.62,"Extant"
"39",39,"Accipiter rhodogaster","Accipitridae","Accipitriformes",5,2,3,0,4,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,172.71,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-5.7,1.76,-1.93,121.3923821,146036.85,"Extant"
"40",40,"Accipiter rufitorques","Accipitridae","Accipitriformes",5,2,3,0,4,26,15.4,10.3,13.7,59.2,217.6,73.5,142,34.1,146,209,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist",-19.2,-16.15,-17.45,169.3900127,17581.12,"Extant"
"41",41,"Accipiter rufiventris","Accipitridae","Accipitriformes",5,2,3,0,4,20.3,10.7,7.8,10,54.2,218.6,83,134.3,38.1,165.8,198,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial",-34.04,15.67,-7.01,32.59640353,756057.21,"Extant"
"42",42,"Accipiter soloensis","Accipitridae","Accipitriformes",5,2,3,0,4,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.77,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Insessorial",20.24,47.24,31.97,117.128589,2375886.74,"Extant"
"43",43,"Accipiter striatus","Accipitridae","Accipitriformes",4,2,2,0,4,19.4,10.5,8.7,10.4,49.8,184.2,60,124.2,32.5,144.2,130.59,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Aerial",NA,NA,NA,NA,NA,"Extant"
"44",44,"Accipiter superciliosus","Accipitridae","Accipitriformes",5,2,3,0,4,19.4,10.8,6.7,10.4,37.4,146.4,38.6,105.2,26.9,104.6,96.38,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial",-28.11,14.61,-6.22,-60.97512206,8560355.56,"Extant"
"45",45,"Accipiter tachiro","Accipitridae","Accipitriformes",9,4,5,0,5,18,15.3,9.8,12.3,61,222.8,55.6,161.8,25.7,180.3,290.2,"Updated_literature","Jackson (1972); Dunning (2021)","NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial",-34.84,4.53,-12.54,29.90120106,5174215.21,"Extant"
"46",46,"Accipiter toussenelii","Accipitridae","Accipitriformes",6,2,2,2,5,24.4,13.9,9.2,11.9,62.1,189,48.2,149.6,24.4,157.2,249.29,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-6.06,17.41,3.51,15.99466695,4598131.33,"Extant"
"47",47,"Accipiter trinotatus","Accipitridae","Accipitriformes",8,2,3,3,4,20.4,13.3,8.6,11.2,48.2,162.9,43,115,27.2,128.8,146,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-5.66,1.76,-1.81,121.3728581,120238.86,"Extant"
"48",48,"Accipiter trivirgatus","Accipitridae","Accipitriformes",15,9,4,2,12,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265.04,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-8.85,31.08,13.91,101.7074345,3366430.69,"Extant"
