"","row_index","species3","family3","order3","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle","min.latitude","max.latitude","centroid.latitude","centroid.longitude","range.size","species.status"
"3146",3146,"Corvus bennetti","Corvidae","Passeriformes",10,5,5,0,4,50.7,32,13.4,16.6,55.4,313.5,129.5,184.9,41.1,173.3,389,"Dunning",NA,"NO",NA,NA,"Shrubland","2","1","Omnivore","Omnivore","Generalist",-36.03,-14.76,-25.69,131.6878998,5681813.47,"Extant"
"3147",3147,"Corvus brachyrhynchos","Corvidae","Passeriformes",13,4,9,0,4,51.1,35.4,14.7,17.7,59.3,309.6,109.1,199.9,35.3,177.3,448.76,"Dunning",NA,"NO",NA,NA,"Human Modified","2","2","Omnivore","Omnivore","Terrestrial",24.53,63.75,46.23,-97.4202212,11573830.54,"Extant"
"3148",3148,"Corvus capensis","Corvidae","Passeriformes",14,4,10,0,4,62.9,46.5,14.5,16,65.6,322.2,114.5,209.2,35.4,164.7,553,"Dunning",NA,"NO",NA,NA,"Grassland","3","2","Omnivore","Omnivore","Terrestrial",-34.84,16.79,-16.5,25.3545069,4036026.48,"Extant"
"3149",3149,"Corvus caurinus","Corvidae","Passeriformes",13,4,8,1,4,48.8,31,13.2,15.9,50.7,277.5,104.7,172.6,37.8,156.9,390.79,"Dunning",NA,"NO",NA,NA,"Coastal","3","2","Omnivore","Omnivore","Terrestrial",46.22,61.54,54.81,-133.8813652,396973.08,"Extant"
"3150",3150,"Corvus corax","Corvidae","Passeriformes",46,15,31,0,10,77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,927.97,"Dunning",NA,"NO",NA,NA,"Forest","3","2","Omnivore","Omnivore","Terrestrial",12.76,83.11,54.65,18.59210558,52288449.5,"Extant"
"3151",3151,"Corvus corone","Corvidae","Passeriformes",63,24,37,2,15,55,35.9,15.1,18.5,59.4,323.9,119.6,204.6,36.9,179.6,570,"Dunning",NA,"NO",NA,NA,"Human Modified","3","1","Carnivore","Omnivore","Terrestrial",22.23,71.19,52.96,78.22659464,33343165.09,"Extant"
"3152",3152,"Corvus coronoides","Corvidae","Passeriformes",16,6,10,0,4,61.1,39.8,16.2,20.1,63.6,356.1,147.8,211.6,41.1,198.7,644.3,"Dunning",NA,"NO",NA,NA,"Shrubland","2","1","Omnivore","Omnivore","Generalist",-39.24,-12.68,-27.75,138.5674368,4803477.78,"Extant"
"3153",3153,"Corvus crassirostris","Corvidae","Passeriformes",14,5,9,0,4,83.2,56.7,24.3,41.1,78.9,446.9,181.3,265,40.6,228.1,1135,"Dunning",NA,"NO",NA,NA,"Rock","3","1","Carnivore","Omnivore","Terrestrial",3.67,16.58,9.52,38.33545854,759238.98,"Extant"
"3154",3154,"Corvus cryptoleucus","Corvidae","Passeriformes",10,3,7,0,4,55.8,34.3,17.2,20.1,59.5,351.1,146.7,204.4,41.7,181.5,533.54,"Dunning",NA,"NO",NA,NA,"Grassland","3","1","Carnivore","Omnivore","Terrestrial",20.83,38.76,29.63,-103.0646449,1195845.67,"Extant"
"3155",3155,"Corvus dauuricus","Corvidae","Passeriformes",16,5,11,0,4,34.6,20.3,11,12.8,44.1,232.3,87.8,144.5,37.8,128.6,208,"Dunning",NA,"NO",NA,NA,"Grassland","3","2","Omnivore","Omnivore","Terrestrial",24.37,53.48,41.79,113.3499093,6025004.51,"Extant"
"3156",3156,"Corvus edithae","Corvidae","Passeriformes",13,5,7,1,4,52.5,30.9,14.3,18.7,57.7,338.5,138.1,198.2,41,168.6,524,"Dunning",NA,"NO",NA,NA,"Desert","3","1","Carnivore","Omnivore","Terrestrial",1.33,15.5,6.95,42.03694789,1179817.28,"Extant"
"3157",3157,"Corvus enca","Corvidae","Passeriformes",31,12,17,2,8,54.5,36.7,15.3,18.7,48.5,265.2,86.8,179.5,32.3,137.8,251,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",-8.85,19.58,1.18,113.2266122,1656902.54,"Extant"
"3158",3158,"Corvus florensis","Corvidae","Passeriformes",5,2,3,0,3,51.5,30.2,12.5,16.5,48.3,226,57.6,168.4,25.5,160,175,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",-8.96,-8.23,-8.61,120.6199805,9095.62,"Extant"
"3159",3159,"Corvus frugilegus","Corvidae","Passeriformes",36,12,24,0,10,59.5,39.1,14.8,18.3,55.7,312.3,127.8,184.2,41,166.8,452.1,"Dunning",NA,"NO",NA,NA,"Grassland","3","1","Omnivore","Omnivore","Terrestrial",28.08,66.07,50.24,76.7485545,19019081.22,"Extant"
"3160",3160,"Corvus fuscicapillus","Corvidae","Passeriformes",6,2,3,1,4,74.6,52.1,18.2,26.6,56.5,335.9,103.2,232.8,30.7,191.1,635,"Inferred",NA,"YES","Body Mass","Corvus tristis","Forest","1","1","Herbivore","Frugivore","Insessorial",-7.09,0.04,-3.48,135.3915429,18445.52,"Extant"
"3161",3161,"Corvus hawaiiensis","Corvidae","Passeriformes",10,1,8,1,4,59.3,38.3,18.8,24.7,66.6,315.4,96.4,219,30.5,195.3,518.82,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"3162",3162,"Corvus imparatus","Corvidae","Passeriformes",11,2,9,0,4,41.9,26.3,12.7,13,39.6,238.7,84.8,153.7,35.7,143.2,221,"Dunning",NA,"NO",NA,NA,"Shrubland","2","1","Omnivore","Omnivore","Terrestrial",21.01,26.29,23.69,-98.6226415,99924.43,"Extant"
"3163",3163,"Corvus jamaicensis","Corvidae","Passeriformes",9,0,6,3,4,47.9,32.1,13.9,16.6,46.5,227.7,66.4,161.3,29.2,137,338,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",17.7,18.53,18.16,-77.31063798,11021.79,"Extant"
"3164",3164,"Corvus kubaryi","Corvidae","Passeriformes",10,2,5,3,5,55.2,37.7,13.3,18.3,52.5,226.4,63,170.3,27,157.6,249.92,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",14.11,14.2,14.16,145.2179822,92.35,"Extant"
"3165",3165,"Corvus leucognaphalus","Corvidae","Passeriformes",10,0,6,4,4,60.7,41,16.8,20.9,54.9,304.3,107.2,197.1,35.2,191.6,401,"Inferred",NA,"YES","Body Mass","Corvus nasicus","Forest","1","1","Omnivore","Omnivore","Insessorial",17.47,19.44,18.75,-71.15790851,8280.85,"Extant"
"3166",3166,"Corvus levaillantii","Corvidae","Passeriformes",33,11,20,2,12,60.5,40.1,17.6,21.8,55.8,308.4,108.5,200.7,35,174.4,513.14,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Generalist",5.92,33.6,22.96,87.59634821,4386761.18,"Extant"
"3167",3167,"Corvus macrorhynchos","Corvidae","Passeriformes",30,7,22,1,14,63.6,44.1,17.3,22,58.3,329.3,114.1,215.2,34.6,192.1,513.14,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Generalist",-10.74,55.35,30.88,113.1420707,10555052.47,"Extant"
"3168",3168,"Corvus meeki","Corvidae","Passeriformes",8,0,7,1,2,70.1,48.6,18.5,24.1,55.8,288.6,86.9,201.7,30,135.7,467,"Inferred",NA,"YES","Body Mass","Corvus woodfordi",NA,"1","1","Omnivore","Omnivore","Insessorial",-7.43,-5.01,-6.2,155.2841966,9689.88,"Extant"
"3169",3169,"Corvus mellori","Corvidae","Passeriformes",13,6,7,0,4,55.4,36.2,13.6,17.9,59,330.8,130.4,199.4,39.5,184.7,540.37,"Dunning",NA,"NO",NA,NA,"Shrubland","2","1","Omnivore","Omnivore","Generalist",-40.48,-28.51,-33.29,143.7961616,1353458.96,"Extant"
"3170",3170,"Corvus minutus","Corvidae","Passeriformes",4,2,2,0,4,45.5,31.5,11.6,16.6,50.4,241.8,83.8,158,34.6,141.5,287.82,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"3171",3171,"Corvus monedula","Corvidae","Passeriformes",33,14,19,0,6,35.2,21.4,11.2,13.3,43.3,231.1,90.5,141.3,39.1,122.4,246,"Dunning",NA,"NO",NA,NA,"Human Modified","3","2","Omnivore","Omnivore","Terrestrial",30.35,67.35,48.54,45.36426702,13975046.48,"Extant"
"3172",3172,"Corvus moneduloides","Corvidae","Passeriformes",10,4,6,0,4,43.5,28.4,11.9,17.1,47.1,238.1,54.7,183.4,23,164.6,277.38,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Generalist",-22.4,-20.09,-21.33,165.4819811,16389.59,"Extant"
"3173",3173,"Corvus nasicus","Corvidae","Passeriformes",8,4,4,0,4,58,40,13.8,18.8,52.2,271.5,95.6,175.1,35.3,162,401,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",19.83,22.66,21.23,-78.11664871,28429.7,"Extant"
"3174",3174,"Corvus orru","Corvidae","Passeriformes",31,10,21,0,4,60,41.1,16.7,20,55.5,321.1,117.4,198.8,37.1,161,507.96,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Generalist",-33.75,2.64,-19.31,134.885009,5438982.3,"Extant"
"3175",3175,"Corvus ossifragus","Corvidae","Passeriformes",13,4,9,0,4,43.3,27.2,13.8,14.8,47.1,276.7,100.6,176.2,36.3,157.1,284.6,"Dunning",NA,"NO",NA,NA,"Coastal","3","1","Omnivore","Omnivore","Terrestrial",24.53,44.92,33.75,-84.15755674,970986.53,"Extant"
"3176",3176,"Corvus palmarum","Corvidae","Passeriformes",10,1,7,2,4,50.6,31.2,12.2,16.2,50,245.2,82.6,161.9,33.8,143.4,289,"EltonTraits_Model",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"3177",3177,"Corvus rhipidurus","Corvidae","Passeriformes",13,4,9,0,4,56.4,34.5,16.4,21.9,62,373.1,131.8,241.2,35.4,149.1,611,"Dunning",NA,"NO",NA,NA,"Grassland","3","1","Omnivore","Omnivore","Terrestrial",-1.05,32.34,13.86,37.61674689,2756382.95,"Extant"
"3178",3178,"Corvus ruficollis","Corvidae","Passeriformes",15,4,11,0,4,67.7,41.5,17.1,22,66.1,385.5,177.4,207.2,45.7,191.8,573.5,"Updated_literature","BoW","NO",NA,NA,"Desert","3","1","Omnivore","Omnivore","Terrestrial",11.76,47.08,25.01,24.06193492,12915376.88,"Extant"
"3179",3179,"Corvus sinaloae","Corvidae","Passeriformes",11,3,8,0,4,43.5,28.8,12.3,13.1,40.6,248.4,89,159.5,35.9,152.6,244,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Generalist",20.71,28.08,24.72,-106.9254935,95101.34,"Extant"
"3180",3180,"Corvus splendens","Corvidae","Passeriformes",25,6,17,2,13,49.7,31.5,13.9,16.7,45.9,258.2,93.8,163.9,36.3,151.9,292.55,"Dunning",NA,"NO",NA,NA,"Human Modified","3","1","Omnivore","Omnivore","Terrestrial",5.92,35.52,23.16,80.56894451,4469957.42,"Extant"
"3181",3181,"Corvus tasmanicus","Corvidae","Passeriformes",8,1,4,3,4,63,40.5,15.4,19.2,61.9,344.4,134.1,211.7,38.8,190.3,676.34,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Generalist",-43.64,-28.71,-36.48,146.3690084,374479.03,"Extant"
"3182",3182,"Corvus torquatus","Corvidae","Passeriformes",15,4,11,0,4,57,34.6,15.5,18.5,60.9,318,111.4,204.6,35.1,177.3,470.53,"Dunning",NA,"NO",NA,NA,"Shrubland","3","1","Omnivore","Omnivore","Terrestrial",18.1,40.82,29.49,113.9361975,2074732.63,"Extant"
"3183",3183,"Corvus tristis","Corvidae","Passeriformes",13,4,9,0,4,65,43.2,19.2,24,56.4,324.7,98.6,224.9,30.4,234.4,635,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Frugivore","Insessorial",-10.7,-0.34,-5.27,140.9328614,693202.25,"Extant"
"3184",3184,"Corvus typicus","Corvidae","Passeriformes",12,2,8,2,4,45.8,28.5,13.7,16.9,42.6,207,57,149.9,27.5,110.2,175,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",-5.7,-1.09,-3.18,120.8713694,104370.92,"Extant"
"3185",3185,"Corvus unicolor","Corvidae","Passeriformes",2,0,0,2,1,46.4,30.5,14.2,16.9,43.8,201.2,60.1,141.2,29.9,104,175,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",-1.44,-1.24,-1.28,122.9716929,137.99,"Extant"
"3186",3186,"Corvus validus","Corvidae","Passeriformes",10,2,6,2,4,76.4,53.4,18,23.4,56.2,335.4,126.4,209,37.6,166.3,300,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Herbivore","Frugivore","Insessorial",-1.74,2.65,0.64,127.9796569,24724.98,"Extant"
"3187",3187,"Corvus woodfordi","Corvidae","Passeriformes",12,4,8,0,3,63.2,45.2,18.1,23.7,50.9,271.3,83.7,188.1,30.6,132.1,467,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",-9.95,-6.59,-8.45,159.0291569,13034.76,"Extant"
"3188",3188,"Crypsirina cucullata","Corvidae","Passeriformes",8,2,6,0,4,22,13.4,7.9,10.2,26.9,107.5,15.8,91.8,14.7,175.7,132.5,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",17.97,25.43,21.18,95.37013012,112222.33,"Extant"
"3189",3189,"Crypsirina temia","Corvidae","Passeriformes",11,2,8,1,4,28.2,19.2,9.8,11.8,27.7,117.5,14.7,102.6,12.5,178.9,129.5,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",-8.85,22.51,14.19,103.5190142,1282466.77,"Extant"
"3190",3190,"Cyanocitta cristata","Corvidae","Passeriformes",11,2,9,0,4,29.9,18.6,10.1,8.9,34.7,130,22.9,108.3,17.4,121.4,88,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Terrestrial",24.53,56.76,43.18,-90.28955608,6665383.16,"Extant"
"3191",3191,"Cyanocitta stelleri","Corvidae","Passeriformes",10,2,8,0,4,33.7,21.1,10.2,9.5,43,145.8,20,125.8,13.6,133.2,128,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",12.8,61.65,41.95,-116.2387924,3560822.24,"Extant"
"3192",3192,"Cyanocorax affinis","Corvidae","Passeriformes",10,2,8,0,4,38.4,23.1,12.2,13.5,50.1,167.8,17.1,150.7,10.2,160,212,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Frugivore","Insessorial",1.94,12.46,8.39,-74.71079475,473163.74,"Extant"
"3193",3193,"Cyanocorax beecheii","Corvidae","Passeriformes",12,2,9,1,6,41.6,26.5,13.1,14.5,52.1,171,21.1,149.9,12.3,189,193,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",21.48,28.51,25.28,-107.2672163,86050.25,"Extant"
"3194",3194,"Cyanocorax caeruleus","Corvidae","Passeriformes",11,2,8,1,4,42.7,26.4,13.5,15.5,50.5,195.7,26.5,169.8,13.5,163.5,272,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",-32.5,-23.35,-27.49,-52.12935588,521253.94,"Extant"
"3195",3195,"Cyanocorax cayanus","Corvidae","Passeriformes",10,2,8,0,4,34.1,20.8,11.5,13.1,49.3,158.4,11,147.4,6.9,154.2,175,"Dunning",NA,"NO",NA,NA,"Shrubland","2","1","Omnivore","Omnivore","Insessorial",-3.19,8.63,2.87,-57.69761999,1160987.21,"Extant"
"3196",3196,"Cyanocorax chrysops","Corvidae","Passeriformes",8,1,6,1,4,36,22.6,10.9,12.7,47.5,155.1,15.6,139.5,10.1,163.5,166,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",-33.69,-2.48,-21.69,-57.57024574,2883955.96,"Extant"
"3197",3197,"Cyanocorax cristatellus","Corvidae","Passeriformes",14,3,9,2,4,38.2,24.2,12.5,14.7,47.1,194.6,39.8,154.8,20.4,137.4,178,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Insessorial",-24.21,-6.69,-15.4,-49.98735606,3037012.19,"Extant"
"3198",3198,"Cyanocorax cyanomelas","Corvidae","Passeriformes",16,6,10,0,4,38.2,22.6,12.1,14.2,47.5,187.6,28.2,159.4,15,162.6,207,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Insessorial",-31.64,-12.19,-19.62,-59.82904709,1680479.72,"Extant"
"3199",3199,"Cyanocorax cyanopogon","Corvidae","Passeriformes",10,2,6,2,4,34.5,19.4,10.1,11.5,45,141.7,12.6,129.1,8.8,149.6,146,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Generalist",-22.6,-2.2,-11.5,-45.07354188,3068149.17,"Extant"
"3200",3200,"Cyanocorax dickeyi","Corvidae","Passeriformes",6,1,5,0,4,39,24.2,11.1,12.5,47.4,173,15.6,157.5,9,161.2,181,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Herbivore","Omnivore","Insessorial",22.28,24.53,23.4,-105.4763168,13431.36,"Extant"
"3201",3201,"Cyanocorax heilprini","Corvidae","Passeriformes",11,2,9,0,5,33.5,19.7,11.1,12.7,49,163.2,16.3,146.9,10,157.3,172,"Updated_literature","Cohn-Haft et al. (2013)","NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",-9.74,5.8,-2.84,-65.50939755,320951.37,"Extant"
"3202",3202,"Cyanocorax luxuosus","Corvidae","Passeriformes",10,2,8,0,4,27.7,16.4,9.2,9.4,37.5,114.4,7.8,107.2,6.7,125.7,78.5,"EltonTraits_Model",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"3203",3203,"Cyanocorax melanocyaneus","Corvidae","Passeriformes",9,2,7,0,3,33.4,19.4,10.6,11.3,40.7,136.2,12.7,123.2,9.4,151.9,101,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Invertivore","Insessorial",12.76,15.95,14.64,-88.4586802,123771.88,"Extant"
"3204",3204,"Cyanocorax morio","Corvidae","Passeriformes",21,5,14,2,4,45.1,28.9,13.2,15.8,49.6,201.3,29.5,176.6,14.3,202.8,204,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",8.3,27.5,17.92,-91.0036774,670090.88,"Extant"
"3205",3205,"Cyanocorax mystacalis","Corvidae","Passeriformes",12,3,7,2,5,36.5,22.1,10.6,12.5,45.6,143.4,12.6,131.3,8.7,138,154.4,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Insessorial",-8.01,-1.11,-4.55,-80.17204122,81043.68,"Extant"
"3206",3206,"Cyanocorax sanblasianus","Corvidae","Passeriformes",11,4,7,0,5,35.6,21.5,10.9,13,41.6,139.9,15.5,123.5,11.2,148.4,109,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",16.68,21.47,18.93,-103.0146687,67589.94,"Extant"
"3207",3207,"Cyanocorax violaceus","Corvidae","Passeriformes",12,3,8,1,4,39,24.9,12.6,14.6,48,193.6,28.5,165,14.8,163.8,262,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",-14.77,10.07,-1.78,-69.31366719,3381230.34,"Extant"
"3208",3208,"Cyanocorax yncas","Corvidae","Passeriformes",20,7,12,1,4,30.8,15.9,9.5,10.2,39.3,125,10.3,114.7,8.3,146.2,78.5,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"3209",3209,"Cyanocorax yucatanicus","Corvidae","Passeriformes",11,2,8,1,4,35.9,22.6,11.3,12.7,41.8,141.9,17.6,124.3,12.4,171.1,118,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Insessorial",17.05,21.61,19.16,-89.65808845,187835.71,"Extant"
"3210",3210,"Cyanolyca argentigula","Corvidae","Passeriformes",11,2,9,0,4,28.2,17,8.1,9.3,34.3,118.3,9.1,109.3,7.7,120.5,200,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Omnivore","Insessorial",8.76,10.07,9.37,-83.26658556,3924.6,"Extant"
"3211",3211,"Cyanolyca armillata","Corvidae","Passeriformes",11,1,8,2,4,29.5,16.2,9.2,10.3,40.9,137.6,11.8,125.1,8.6,164.2,200,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",-0.39,9.47,5.14,-74.18002827,96599.98,"Extant"
"3212",3212,"Cyanolyca cucullata","Corvidae","Passeriformes",10,2,8,0,4,32,18.2,10.2,11.2,38.5,123.9,7.9,116,6.4,130.7,101.33,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",8.5,21.72,16.04,-91.38786723,105285.43,"Extant"
"3213",3213,"Cyanolyca mirabilis","Corvidae","Passeriformes",6,4,2,0,4,23.4,14.5,6.9,8.3,32.6,106,10.3,95.7,9.7,109.3,52.4,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",16,17.74,16.83,-98.22534287,3738.6,"Extant"
"3214",3214,"Cyanolyca nana","Corvidae","Passeriformes",8,0,8,0,4,24.1,13.2,6.5,7.3,31.6,113.4,14.9,98.5,13.1,113.9,41,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",17.14,21.26,17.98,-96.79095631,4670.68,"Extant"
"3215",3215,"Cyanolyca pulchra","Corvidae","Passeriformes",4,1,2,1,3,31.6,19,10.2,11.6,40.7,133,20.5,112.5,15,132.2,101.33,"Inferred",NA,"YES","Body Mass","Cyanolyca cucullata","Forest","1","1","Carnivore","Invertivore","Insessorial",-0.28,5.47,2.53,-77.33373852,19718.93,"Extant"
"3216",3216,"Cyanolyca pumilo","Corvidae","Passeriformes",11,4,7,0,4,27.3,15,7.4,8.1,32.4,117.6,11.6,104.9,9.9,118.4,47,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",13.79,17.37,15.21,-89.80304704,103163.24,"Extant"
"3217",3217,"Cyanolyca turcosa","Corvidae","Passeriformes",15,2,9,4,4,33.4,18,9.6,10.7,39.8,137,13,123.3,9.5,143.1,97.5,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",-5.76,1.06,-1.85,-78.59890091,62126.94,"Extant"
"3218",3218,"Cyanolyca viridicyanus","Corvidae","Passeriformes",19,6,9,4,5,31.6,17.7,9.4,10.3,41.5,138.2,12.7,125.2,9.3,162.9,119.79,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Invertivore","Insessorial",-18.04,-5.38,-12.56,-71.98751291,197888.28,"Extant"
"3219",3219,"Cyanopica cyanus","Corvidae","Passeriformes",25,4,18,3,8,28.6,17,8.3,8.5,35,136.4,21.4,114.6,15.7,197.7,95.91,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Omnivore","Omnivore","Generalist",27.45,54.31,41.98,113.0380831,4927539.01,"Extant"
"3220",3220,"Dendrocitta bayleyi","Corvidae","Passeriformes",10,2,8,0,4,27.9,16.9,9.3,11.4,27.2,116.4,17.2,98.6,14.9,181.3,101.96,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Omnivore","Insessorial",10.51,13.68,12.29,92.77889914,5706.32,"Extant"
"3221",3221,"Dendrocitta formosae","Corvidae","Passeriformes",14,4,10,0,8,34,23.2,11.7,14.7,30.2,141.1,22.8,119.2,16,200.7,102.74,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Omnivore","Omnivore","Insessorial",13.07,33.77,25.48,105.1915427,3328585.52,"Extant"
"3222",3222,"Dendrocitta frontalis","Corvidae","Passeriformes",9,2,6,1,4,32.5,20.5,9.7,14.9,30,130.2,16.7,113.9,12.7,214.4,100,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Carnivore","Omnivore","Insessorial",21.74,29.6,26.44,96.48506484,200384.69,"Extant"
"3223",3223,"Dendrocitta leucogastra","Corvidae","Passeriformes",9,2,7,0,4,34.5,20.9,11.7,14.8,30.7,140.9,19.1,121.4,13.5,282.4,99.2,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Omnivore","Insessorial",8.1,17.35,12.52,75.72888718,107997.21,"Extant"
"3224",3224,"Dendrocitta occipitalis","Corvidae","Passeriformes",16,4,12,0,8,33,20.8,12,15.1,30.1,141.8,22.1,119.7,15.5,250.3,95.3,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",-5.95,6.5,1.41,107.8187927,333937.44,"Extant"
"3225",3225,"Dendrocitta vagabunda","Corvidae","Passeriformes",12,3,8,1,4,33.4,21.3,10.6,14,34.2,155,22.4,127.2,15,257.3,100,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Carnivore","Omnivore","Terrestrial",8.07,33.79,22.02,83.5058091,4361512.68,"Extant"
"3226",3226,"Garrulus glandarius","Corvidae","Passeriformes",28,9,18,1,4,33.7,19.9,10.4,12.2,40.6,181.4,35.1,147.6,19.2,147.1,159.46,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Omnivore","Omnivore","Insessorial",10.89,70.09,48.19,67.26051607,22919550.27,"Extant"
"3227",3227,"Garrulus lanceolatus","Corvidae","Passeriformes",11,2,9,0,4,27.4,15.1,8.9,11.3,38,152.6,23.6,128.6,15.5,149.4,97.7,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Omnivore","Omnivore","Insessorial",27.38,36.1,31.98,75.90114121,322480.19,"Extant"
"3228",3228,"Garrulus lidthi","Corvidae","Passeriformes",8,1,7,0,4,37.8,22.7,10.8,14.4,44.3,173.8,26.9,146.9,15.5,166.8,125,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Omnivore","Omnivore","Insessorial",28.01,28.52,28.28,129.4060984,815.32,"Extant"
"3229",3229,"Gymnorhinus cyanocephalus","Corvidae","Passeriformes",9,2,7,0,4,37.9,23.8,8.3,8.8,37.7,147.8,39.2,107.8,26.6,106.2,104.82,"Dunning",NA,"NO",NA,NA,"Forest","2","2","Omnivore","Omnivore","Generalist",30.16,46.72,39.05,-111.5662735,1284048.89,"Extant"
"3230",3230,"Nucifraga caryocatactes","Corvidae","Passeriformes",37,14,23,0,8,49.5,36.1,12.4,14.3,39.5,190.8,47.5,143.7,24.8,128.6,182.51,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Omnivore","Granivore","Insessorial",21.9,70.87,55.46,100.0086226,17894760.51,"Extant"
"3231",3231,"Nucifraga columbiana","Corvidae","Passeriformes",12,2,10,0,4,44.3,35.4,11.6,12.3,36.7,191,61.6,129.3,32.2,112,129.81,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Omnivore","Omnivore","Insessorial",24.81,54.26,43.24,-114.1376291,2287629.4,"Extant"
